"Hillnumber","Arearef","Alt_Area"
"1422","M19C","0"
"1423","M19C","0"
"1424","M19C","0"
"1425","M19C","0"
"1426","M19C","0"
"1427","M19C","0"
"1428","M19C","0"
"1429","M19C","0"
"1430","M19C","0"
"1431","M19C","0"
"1432","M19C","0"
"1433","M19C","0"
"1434","M19C","0"
"1435","M19C","0"
"1436","M19C","0"
"1437","M19C","0"
"1438","M19C","0"
"1439","M19C","0"
"1440","M19C","0"
"1441","M19C","0"
"1442","M19C","0"
"1443","M19C","0"
"1444","M19C","0"
"1445","M19C","0"
"1446","M19C","0"
"1447","M19C","0"
"1448","M19C","0"
"1449","M20A","0"
"1450","M20A","0"
"1451","M20A","0"
"1452","M20A","0"
"1453","M20A","0"
"1454","M20A","0"
"1455","M20A","0"
"1456","M20A","0"
"1457","M20A","0"
"1458","M20A","0"
"1459","M20A","0"
"1460","M20A","0"
"1461","M20A","0"
"1462","M20A","0"
"1463","M20B","0"
"1464","M20B","0"
"1465","M20B","0"
"1466","M20B","0"
"1467","M20B","0"
"1468","M20B","0"
"1469","M20B","0"
"1470","M20B","0"
"1471","M20B","0"
"1472","M20C","0"
"1473","M20C","0"
"1474","M20C","0"
"1475","M20C","0"
"1476","M20C","0"
"1477","M20C","0"
"1478","M20C","0"
"1479","M20C","0"
"2660","NE05","0"
"2661","NE05","0"
"2662","NE05","0"
"2663","NE05","0"
"2664","NE05","0"
"2665","NE07","0"
"2666","NE07","0"
"2667","NE05","0"
"2668","NE05","0"
"2669","NE07","0"
"2670","NE05","0"
"2671","NE05","0"
"2672","NE05","0"
"2673","NE05","0"
"2674","NE05","0"
"2675","NE05","0"
"2676","NE05","0"
"2677","NE05","0"
"2678","NE05","0"
"2679","NE05","0"
"2680","NE05","0"
"2681","NE05","0"
"2682","NE05","0"
"2683","NE05","0"
"2684","NE05","0"
"2685","NE05","0"
"2686","NE05","0"
"2687","NE05","0"
"2688","NE05","0"
"2689","NE05","0"
"2690","NE07","0"
"2691","NE05","0"
"2692","NE05","0"
"2693","NE05","0"
"2694","NE05","0"
"2695","NE05","0"
"2696","NE05","0"
"2697","NE05","0"
"2698","NE05","0"
"2699","NE05","0"
"2700","NE05","0"
"2701","NE05","0"
"2702","NE05","0"
"2703","NE05","0"
"2704","NE05","0"
"2705","NE05","0"
"2706","NE05","0"
"2707","NE09","0"
"2708","NE09","0"
"2709","NE09","0"
"2710","NE09","0"
"2711","A14","0"
"2711","C57","0"
"2711","NE09","0"
"2711","U37","0"
"2712","NE09","0"
"2713","NE09","0"
"2714","C17","0"
"2714","NE10","0"
"2715","NE10","0"
"2716","NE11","0"
"2717","NE10","0"
"2718","NE09","0"
"2719","NE11","0"
"2720","NE11","0"
"2721","NE10","0"
"2722","NE10","0"
"2723","NE09","0"
"2724","NE10","0"
"2725","NE11","0"
"2726","NE11","0"
"2727","NE09","0"
"2728","NE09","0"
"2729","NE11","0"
"2730","NE11","0"
"2731","NE10","0"
"2732","NE11","0"
"2733","NE11","0"
"2734","NE11","0"
"2735","NE09","0"
"2736","NE10","0"
"2737","NE11","0"
"2738","NE10","0"
"2739","NE11","0"
"2740","NE11","0"
"2741","NE11","0"
"2742","NE10","0"
"2743","NE11","0"
"2744","NE09","0"
"2745","NE11","0"
"2746","NE09","0"
"2747","NE09","0"
"2748","NE10","0"
"2749","NE11","0"
"2750","NE10","0"
"2751","NE11","0"
"2752","NE09","0"
"2753","NE10","0"
"2754","NE11","0"
"4126","M07B","0"
"4127","M07B","0"
"4128","M07B","0"
"4129","M07B","0"
"4130","M07B","0"
"4131","M07B","0"
"4132","M07B","0"
"4133","M07B","0"
"4134","M07B","0"
"4135","M07B","0"
"4136","M07B","0"
"4137","M07B","0"
"4138","M07B","0"
"4139","M07B","0"
"4140","M07B","0"
"4141","M07B","0"
"4142","M07B","0"
"4143","M07B","0"
"4144","M07B","0"
"4145","M07B","0"
"4146","M07B","0"
"4147","M07B","0"
"4148","M07B","0"
"4149","M08A","0"
"4150","M08A","0"
"4151","M08A","0"
"4152","M08A","0"
"4153","M08A","0"
"4154","M08A","0"
"4155","M08A","0"
"4156","M08A","0"
"4157","M08A","0"
"4158","M08A","0"
"4159","M08A","0"
"4160","M08A","0"
"4161","M08B","0"
"4162","M08B","0"
"4163","M08B","0"
"4164","M08B","0"
"4165","M08B","0"
"4166","M08B","0"
"4167","M08B","0"
"4168","M08B","0"
"4169","M08B","0"
"4170","M08B","0"
"4171","M08B","0"
"4172","M08B","0"
"4173","M08B","0"
"4174","M08B","0"
"4175","M08B","0"
"4176","M08B","0"
"4177","M08B","0"
"4178","M08B","0"
"4179","M08B","0"
"4180","M08B","0"
"4181","M08B","0"
"4182","M08B","0"
"4183","M08B","0"
"4184","M08B","0"
"4185","M08B","0"
"4186","M09A","0"
"2755","NE11","0"
"2756","NE09","0"
"2757","NE09","0"
"2758","NE10","0"
"2759","NE11","0"
"2760","NE11","0"
"2761","NE09","0"
"2762","NE09","0"
"2763","NE09","0"
"2764","NE09","0"
"2765","NE09","0"
"2766","NE10","0"
"2767","NE10","0"
"2768","NE10","0"
"2769","NE09","0"
"2770","NE09","0"
"2771","NE11","0"
"2772","NE11","0"
"2774","NE11","0"
"2775","NE09","0"
"2776","NE09","0"
"2777","NE05","0"
"2778","NE03","0"
"2779","A36","0"
"2779","C58","0"
"2779","NE12","0"
"2779","U77","0"
"2780","NE12","0"
"2781","NE12","0"
"2782","NE12","0"
"2783","NE12","0"
"2784","NE12","0"
"2785","NE12","0"
"2786","NE12","0"
"2787","NE12","0"
"2788","NE12","0"
"2789","NE12","0"
"2790","NE12","0"
"2791","NE12","0"
"2792","A30","0"
"2792","NE12","0"
"2792","U57","0"
"2793","NE12","0"
"2794","NE12","0"
"2795","NE12","0"
"2796","NE12","0"
"2797","NE12","0"
"2798","NE12","0"
"2799","NE12","0"
"2800","NE12","0"
"2801","NE12","0"
"2802","NE12","0"
"2807","A11","0"
"2807","C14","0"
